hospital_id,hospital_name,blood_type,demand_units,available_units,urgency_level,distance_km,processing_time_hours,expiry_days
1,City General Hospital,A+,25,30,High,5,2,21
2,Memorial Medical Center,A+,18,22,Medium,12,3,18
3,Regional Hospital,A+,15,10,High,8,2,15
4,Unity Health Center,A+,22,25,Low,25,4,20
5,Metropolitan Hospital,A+,30,28,High,3,1,22
6,Central Medical,A+,12,15,Medium,18,3,19
7,Northside Hospital,A+,20,18,High,7,2,17
8,West End Medical,A+,14,20,Low,30,5,16
9,Eastwood Clinic,A+,25,22,High,4,1,23
10,Southern Health,A+,18,15,Medium,15,3,18
11,City General Hospital,A-,10,8,High,5,2,20
12,Memorial Medical Center,A-,8,12,Low,12,3,19
13,Regional Hospital,A-,12,10,High,8,2,16
14,Unity Health Center,A-,6,9,Low,25,4,21
15,Metropolitan Hospital,A-,15,12,High,3,1,22
16,Central Medical,A-,9,7,Medium,18,3,17
17,Northside Hospital,A-,11,14,Low,7,2,18
18,West End Medical,A-,7,10,Medium,30,5,15
19,Eastwood Clinic,A-,13,11,High,4,1,20
20,Southern Health,A-,10,8,Medium,15,3,19
21,City General Hospital,B+,20,25,Medium,5,2,21
22,Memorial Medical Center,B+,15,18,High,12,3,18
23,Regional Hospital,B+,22,20,High,8,2,17
24,Unity Health Center,B+,18,22,Low,25,4,19
25,Metropolitan Hospital,B+,25,28,High,3,1,22
26,Central Medical,B+,12,15,Medium,18,3,20
27,Northside Hospital,B+,20,16,High,7,2,16
28,West End Medical,B+,14,18,Low,30,5,18
29,Eastwood Clinic,B+,30,25,High,4,1,23
30,Southern Health,B+,16,14,Medium,15,3,19
31,City General Hospital,B-,9,7,High,5,2,20
32,Memorial Medical Center,B-,6,10,Low,12,3,18
33,Regional Hospital,B-,11,8,High,8,2,17
34,Unity Health Center,B-,8,12,Low,25,4,21
35,Metropolitan Hospital,B-,13,10,High,3,1,22
36,Central Medical,B-,7,9,Medium,18,3,19
37,Northside Hospital,B-,10,12,Low,7,2,18
38,West End Medical,B-,5,8,Medium,30,5,16
39,Eastwood Clinic,B-,12,9,High,4,1,20
